Task,Phrase,Score,Description
"Transferring the risk of product, registering the discharge  - Train",country-specific loss regulation,45.666666666666664,"Rail Loading:

On the loaded rail tank cars numbered seals must be placed at least to the unloading nozzles on both sides, to the hand wheel of the crown valves and to the dome cover, and additionally – subject to the rail tank car design – to places offering the possibility of an access to the goods. Registration of the placed RTC seals must be kept.  

The number of the seals affixed must be indicated on the bill of lading.

After the goods accompanying documents have been issued the loaded and sealed railway tankers must be departed to the railway company in an acceptance/transfer procedure. 
A protocol (such as Railway Tanker Car Departure Form) must be prepared on the acceptance / transfer of the RTCs and the goods accompanying documents.

In case the terminal has a calibrated weighing bridge the certificate made on the weighting must also be attached to the freight documents. 

The second copy of the bills of lading handed over to the railway service must be archived.

Accounting for transport losses:

For loaded quantities within MOL Group (supplying own terminals) no transport difference may be accounted for. (Except the transport means arrived with damaged or incomplete security seals. In that case the realized loss must be claimed from the transporter)

In other cases transport loss may be accounted for transportation with suspended excise tax or approved customer claims only, case by case on the basis of difference between the quantity of the dispatched and received goods. For an EU delivery a counter signature by the authorities is required and the duty will be levied through a resolution by the member state authority.

The shortage generated in transit is the liability of the dispatching tax warehouse, except if an agreement has been made with the transporter on the joint and several liabilities. 

For release to free circulation the losses must be accounted for document by document (SAAD - Simplified Accompanying Administration Document). The quantity leaving the tax warehouse must be shown compulsorily on the SAAD. The accounting for loss in transit must be regulated in a contract. 

The product transfer pipeline functions as a special tax warehouse, the loss that can be accounted during delivery by product transport pipeline, is set forth by the customs and finance guard agency exercising the current authority supervision of the tax warehouse, with consideration given to the characteristics relating to the product transfer pipeline.

For the acceptable loss for non-excise duty licensed trading (retail) of the excise duty mineral oil products the country-specific loss regulation is applicable.

The rates of acceptable loss norms during deliveries are covered in Appendix 4. When defining the acceptable loss norms the norms set forth in the applicable regulations of the given country, are applicable. In case the norms of the applicable national regulation are more permissive than those defined in appendix 4, the values in the present table must be used.


All shortages above the norm, generated in the transportation process, must be investigated and reported to the head of Product Storage Management and to the head of the relevant Transportation Unit (Road, Rail/Barge).

In case the loss in transit has occurred due to theft (e.g. broken lead seal is found), the total quantity of the shortage must be included in the product balance as a theft, with an authority report prepared.  
"
"Transferring the risk of product, registering the discharge  - Train",terminal,45.5,"Rail Loading:

On the loaded rail tank cars numbered seals must be placed at least to the unloading nozzles on both sides, to the hand wheel of the crown valves and to the dome cover, and additionally – subject to the rail tank car design – to places offering the possibility of an access to the goods. Registration of the placed RTC seals must be kept.  

The number of the seals affixed must be indicated on the bill of lading.

After the goods accompanying documents have been issued the loaded and sealed railway tankers must be departed to the railway company in an acceptance/transfer procedure. 
A protocol (such as Railway Tanker Car Departure Form) must be prepared on the acceptance / transfer of the RTCs and the goods accompanying documents.

In case the terminal has a calibrated weighing bridge the certificate made on the weighting must also be attached to the freight documents. 

The second copy of the bills of lading handed over to the railway service must be archived.

Accounting for transport losses:

For loaded quantities within MOL Group (supplying own terminals) no transport difference may be accounted for. (Except the transport means arrived with damaged or incomplete security seals. In that case the realized loss must be claimed from the transporter)

In other cases transport loss may be accounted for transportation with suspended excise tax or approved customer claims only, case by case on the basis of difference between the quantity of the dispatched and received goods. For an EU delivery a counter signature by the authorities is required and the duty will be levied through a resolution by the member state authority.

The shortage generated in transit is the liability of the dispatching tax warehouse, except if an agreement has been made with the transporter on the joint and several liabilities. 

For release to free circulation the losses must be accounted for document by document (SAAD - Simplified Accompanying Administration Document). The quantity leaving the tax warehouse must be shown compulsorily on the SAAD. The accounting for loss in transit must be regulated in a contract. 

The product transfer pipeline functions as a special tax warehouse, the loss that can be accounted during delivery by product transport pipeline, is set forth by the customs and finance guard agency exercising the current authority supervision of the tax warehouse, with consideration given to the characteristics relating to the product transfer pipeline.

For the acceptable loss for non-excise duty licensed trading (retail) of the excise duty mineral oil products the country-specific loss regulation is applicable.

The rates of acceptable loss norms during deliveries are covered in Appendix 4. When defining the acceptable loss norms the norms set forth in the applicable regulations of the given country, are applicable. In case the norms of the applicable national regulation are more permissive than those defined in appendix 4, the values in the present table must be used.


All shortages above the norm, generated in the transportation process, must be investigated and reported to the head of Product Storage Management and to the head of the relevant Transportation Unit (Road, Rail/Barge).

In case the loss in transit has occurred due to theft (e.g. broken lead seal is found), the total quantity of the shortage must be included in the product balance as a theft, with an authority report prepared.  
"
"Transferring the risk of product, registering the discharge  - Train",lead seal,37.333333333333336,"Rail Loading:

On the loaded rail tank cars numbered seals must be placed at least to the unloading nozzles on both sides, to the hand wheel of the crown valves and to the dome cover, and additionally – subject to the rail tank car design – to places offering the possibility of an access to the goods. Registration of the placed RTC seals must be kept.  

The number of the seals affixed must be indicated on the bill of lading.

After the goods accompanying documents have been issued the loaded and sealed railway tankers must be departed to the railway company in an acceptance/transfer procedure. 
A protocol (such as Railway Tanker Car Departure Form) must be prepared on the acceptance / transfer of the RTCs and the goods accompanying documents.

In case the terminal has a calibrated weighing bridge the certificate made on the weighting must also be attached to the freight documents. 

The second copy of the bills of lading handed over to the railway service must be archived.

Accounting for transport losses:

For loaded quantities within MOL Group (supplying own terminals) no transport difference may be accounted for. (Except the transport means arrived with damaged or incomplete security seals. In that case the realized loss must be claimed from the transporter)

In other cases transport loss may be accounted for transportation with suspended excise tax or approved customer claims only, case by case on the basis of difference between the quantity of the dispatched and received goods. For an EU delivery a counter signature by the authorities is required and the duty will be levied through a resolution by the member state authority.

The shortage generated in transit is the liability of the dispatching tax warehouse, except if an agreement has been made with the transporter on the joint and several liabilities. 

For release to free circulation the losses must be accounted for document by document (SAAD - Simplified Accompanying Administration Document). The quantity leaving the tax warehouse must be shown compulsorily on the SAAD. The accounting for loss in transit must be regulated in a contract. 

The product transfer pipeline functions as a special tax warehouse, the loss that can be accounted during delivery by product transport pipeline, is set forth by the customs and finance guard agency exercising the current authority supervision of the tax warehouse, with consideration given to the characteristics relating to the product transfer pipeline.

For the acceptable loss for non-excise duty licensed trading (retail) of the excise duty mineral oil products the country-specific loss regulation is applicable.

The rates of acceptable loss norms during deliveries are covered in Appendix 4. When defining the acceptable loss norms the norms set forth in the applicable regulations of the given country, are applicable. In case the norms of the applicable national regulation are more permissive than those defined in appendix 4, the values in the present table must be used.


All shortages above the norm, generated in the transportation process, must be investigated and reported to the head of Product Storage Management and to the head of the relevant Transportation Unit (Road, Rail/Barge).

In case the loss in transit has occurred due to theft (e.g. broken lead seal is found), the total quantity of the shortage must be included in the product balance as a theft, with an authority report prepared.  
"
"Transferring the risk of product, registering the discharge  - Train",accounting,35.5,"Rail Loading:

On the loaded rail tank cars numbered seals must be placed at least to the unloading nozzles on both sides, to the hand wheel of the crown valves and to the dome cover, and additionally – subject to the rail tank car design – to places offering the possibility of an access to the goods. Registration of the placed RTC seals must be kept.  

The number of the seals affixed must be indicated on the bill of lading.

After the goods accompanying documents have been issued the loaded and sealed railway tankers must be departed to the railway company in an acceptance/transfer procedure. 
A protocol (such as Railway Tanker Car Departure Form) must be prepared on the acceptance / transfer of the RTCs and the goods accompanying documents.

In case the terminal has a calibrated weighing bridge the certificate made on the weighting must also be attached to the freight documents. 

The second copy of the bills of lading handed over to the railway service must be archived.

Accounting for transport losses:

For loaded quantities within MOL Group (supplying own terminals) no transport difference may be accounted for. (Except the transport means arrived with damaged or incomplete security seals. In that case the realized loss must be claimed from the transporter)

In other cases transport loss may be accounted for transportation with suspended excise tax or approved customer claims only, case by case on the basis of difference between the quantity of the dispatched and received goods. For an EU delivery a counter signature by the authorities is required and the duty will be levied through a resolution by the member state authority.

The shortage generated in transit is the liability of the dispatching tax warehouse, except if an agreement has been made with the transporter on the joint and several liabilities. 

For release to free circulation the losses must be accounted for document by document (SAAD - Simplified Accompanying Administration Document). The quantity leaving the tax warehouse must be shown compulsorily on the SAAD. The accounting for loss in transit must be regulated in a contract. 

The product transfer pipeline functions as a special tax warehouse, the loss that can be accounted during delivery by product transport pipeline, is set forth by the customs and finance guard agency exercising the current authority supervision of the tax warehouse, with consideration given to the characteristics relating to the product transfer pipeline.

For the acceptable loss for non-excise duty licensed trading (retail) of the excise duty mineral oil products the country-specific loss regulation is applicable.

The rates of acceptable loss norms during deliveries are covered in Appendix 4. When defining the acceptable loss norms the norms set forth in the applicable regulations of the given country, are applicable. In case the norms of the applicable national regulation are more permissive than those defined in appendix 4, the values in the present table must be used.


All shortages above the norm, generated in the transportation process, must be investigated and reported to the head of Product Storage Management and to the head of the relevant Transportation Unit (Road, Rail/Barge).

In case the loss in transit has occurred due to theft (e.g. broken lead seal is found), the total quantity of the shortage must be included in the product balance as a theft, with an authority report prepared.  
"
"Transferring the risk of product, registering the discharge  - Train",acceptable loss,34.0,"Rail Loading:

On the loaded rail tank cars numbered seals must be placed at least to the unloading nozzles on both sides, to the hand wheel of the crown valves and to the dome cover, and additionally – subject to the rail tank car design – to places offering the possibility of an access to the goods. Registration of the placed RTC seals must be kept.  

The number of the seals affixed must be indicated on the bill of lading.

After the goods accompanying documents have been issued the loaded and sealed railway tankers must be departed to the railway company in an acceptance/transfer procedure. 
A protocol (such as Railway Tanker Car Departure Form) must be prepared on the acceptance / transfer of the RTCs and the goods accompanying documents.

In case the terminal has a calibrated weighing bridge the certificate made on the weighting must also be attached to the freight documents. 

The second copy of the bills of lading handed over to the railway service must be archived.

Accounting for transport losses:

For loaded quantities within MOL Group (supplying own terminals) no transport difference may be accounted for. (Except the transport means arrived with damaged or incomplete security seals. In that case the realized loss must be claimed from the transporter)

In other cases transport loss may be accounted for transportation with suspended excise tax or approved customer claims only, case by case on the basis of difference between the quantity of the dispatched and received goods. For an EU delivery a counter signature by the authorities is required and the duty will be levied through a resolution by the member state authority.

The shortage generated in transit is the liability of the dispatching tax warehouse, except if an agreement has been made with the transporter on the joint and several liabilities. 

For release to free circulation the losses must be accounted for document by document (SAAD - Simplified Accompanying Administration Document). The quantity leaving the tax warehouse must be shown compulsorily on the SAAD. The accounting for loss in transit must be regulated in a contract. 

The product transfer pipeline functions as a special tax warehouse, the loss that can be accounted during delivery by product transport pipeline, is set forth by the customs and finance guard agency exercising the current authority supervision of the tax warehouse, with consideration given to the characteristics relating to the product transfer pipeline.

For the acceptable loss for non-excise duty licensed trading (retail) of the excise duty mineral oil products the country-specific loss regulation is applicable.

The rates of acceptable loss norms during deliveries are covered in Appendix 4. When defining the acceptable loss norms the norms set forth in the applicable regulations of the given country, are applicable. In case the norms of the applicable national regulation are more permissive than those defined in appendix 4, the values in the present table must be used.


All shortages above the norm, generated in the transportation process, must be investigated and reported to the head of Product Storage Management and to the head of the relevant Transportation Unit (Road, Rail/Barge).

In case the loss in transit has occurred due to theft (e.g. broken lead seal is found), the total quantity of the shortage must be included in the product balance as a theft, with an authority report prepared.  
"
"Transferring the risk of product, registering the discharge  - Train",applicable national regulation,32.166666666666664,"Rail Loading:

On the loaded rail tank cars numbered seals must be placed at least to the unloading nozzles on both sides, to the hand wheel of the crown valves and to the dome cover, and additionally – subject to the rail tank car design – to places offering the possibility of an access to the goods. Registration of the placed RTC seals must be kept.  

The number of the seals affixed must be indicated on the bill of lading.

After the goods accompanying documents have been issued the loaded and sealed railway tankers must be departed to the railway company in an acceptance/transfer procedure. 
A protocol (such as Railway Tanker Car Departure Form) must be prepared on the acceptance / transfer of the RTCs and the goods accompanying documents.

In case the terminal has a calibrated weighing bridge the certificate made on the weighting must also be attached to the freight documents. 

The second copy of the bills of lading handed over to the railway service must be archived.

Accounting for transport losses:

For loaded quantities within MOL Group (supplying own terminals) no transport difference may be accounted for. (Except the transport means arrived with damaged or incomplete security seals. In that case the realized loss must be claimed from the transporter)

In other cases transport loss may be accounted for transportation with suspended excise tax or approved customer claims only, case by case on the basis of difference between the quantity of the dispatched and received goods. For an EU delivery a counter signature by the authorities is required and the duty will be levied through a resolution by the member state authority.

The shortage generated in transit is the liability of the dispatching tax warehouse, except if an agreement has been made with the transporter on the joint and several liabilities. 

For release to free circulation the losses must be accounted for document by document (SAAD - Simplified Accompanying Administration Document). The quantity leaving the tax warehouse must be shown compulsorily on the SAAD. The accounting for loss in transit must be regulated in a contract. 

The product transfer pipeline functions as a special tax warehouse, the loss that can be accounted during delivery by product transport pipeline, is set forth by the customs and finance guard agency exercising the current authority supervision of the tax warehouse, with consideration given to the characteristics relating to the product transfer pipeline.

For the acceptable loss for non-excise duty licensed trading (retail) of the excise duty mineral oil products the country-specific loss regulation is applicable.

The rates of acceptable loss norms during deliveries are covered in Appendix 4. When defining the acceptable loss norms the norms set forth in the applicable regulations of the given country, are applicable. In case the norms of the applicable national regulation are more permissive than those defined in appendix 4, the values in the present table must be used.


All shortages above the norm, generated in the transportation process, must be investigated and reported to the head of Product Storage Management and to the head of the relevant Transportation Unit (Road, Rail/Barge).

In case the loss in transit has occurred due to theft (e.g. broken lead seal is found), the total quantity of the shortage must be included in the product balance as a theft, with an authority report prepared.  
"
"Transferring the risk of product, registering the discharge  - Train",non-excise duty,31.5,"Rail Loading:

On the loaded rail tank cars numbered seals must be placed at least to the unloading nozzles on both sides, to the hand wheel of the crown valves and to the dome cover, and additionally – subject to the rail tank car design – to places offering the possibility of an access to the goods. Registration of the placed RTC seals must be kept.  

The number of the seals affixed must be indicated on the bill of lading.

After the goods accompanying documents have been issued the loaded and sealed railway tankers must be departed to the railway company in an acceptance/transfer procedure. 
A protocol (such as Railway Tanker Car Departure Form) must be prepared on the acceptance / transfer of the RTCs and the goods accompanying documents.

In case the terminal has a calibrated weighing bridge the certificate made on the weighting must also be attached to the freight documents. 

The second copy of the bills of lading handed over to the railway service must be archived.

Accounting for transport losses:

For loaded quantities within MOL Group (supplying own terminals) no transport difference may be accounted for. (Except the transport means arrived with damaged or incomplete security seals. In that case the realized loss must be claimed from the transporter)

In other cases transport loss may be accounted for transportation with suspended excise tax or approved customer claims only, case by case on the basis of difference between the quantity of the dispatched and received goods. For an EU delivery a counter signature by the authorities is required and the duty will be levied through a resolution by the member state authority.

The shortage generated in transit is the liability of the dispatching tax warehouse, except if an agreement has been made with the transporter on the joint and several liabilities. 

For release to free circulation the losses must be accounted for document by document (SAAD - Simplified Accompanying Administration Document). The quantity leaving the tax warehouse must be shown compulsorily on the SAAD. The accounting for loss in transit must be regulated in a contract. 

The product transfer pipeline functions as a special tax warehouse, the loss that can be accounted during delivery by product transport pipeline, is set forth by the customs and finance guard agency exercising the current authority supervision of the tax warehouse, with consideration given to the characteristics relating to the product transfer pipeline.

For the acceptable loss for non-excise duty licensed trading (retail) of the excise duty mineral oil products the country-specific loss regulation is applicable.

The rates of acceptable loss norms during deliveries are covered in Appendix 4. When defining the acceptable loss norms the norms set forth in the applicable regulations of the given country, are applicable. In case the norms of the applicable national regulation are more permissive than those defined in appendix 4, the values in the present table must be used.


All shortages above the norm, generated in the transportation process, must be investigated and reported to the head of Product Storage Management and to the head of the relevant Transportation Unit (Road, Rail/Barge).

In case the loss in transit has occurred due to theft (e.g. broken lead seal is found), the total quantity of the shortage must be included in the product balance as a theft, with an authority report prepared.  
"
"Transferring the risk of product, registering the discharge  - Train",product storage management,29.0,"Rail Loading:

On the loaded rail tank cars numbered seals must be placed at least to the unloading nozzles on both sides, to the hand wheel of the crown valves and to the dome cover, and additionally – subject to the rail tank car design – to places offering the possibility of an access to the goods. Registration of the placed RTC seals must be kept.  

The number of the seals affixed must be indicated on the bill of lading.

After the goods accompanying documents have been issued the loaded and sealed railway tankers must be departed to the railway company in an acceptance/transfer procedure. 
A protocol (such as Railway Tanker Car Departure Form) must be prepared on the acceptance / transfer of the RTCs and the goods accompanying documents.

In case the terminal has a calibrated weighing bridge the certificate made on the weighting must also be attached to the freight documents. 

The second copy of the bills of lading handed over to the railway service must be archived.

Accounting for transport losses:

For loaded quantities within MOL Group (supplying own terminals) no transport difference may be accounted for. (Except the transport means arrived with damaged or incomplete security seals. In that case the realized loss must be claimed from the transporter)

In other cases transport loss may be accounted for transportation with suspended excise tax or approved customer claims only, case by case on the basis of difference between the quantity of the dispatched and received goods. For an EU delivery a counter signature by the authorities is required and the duty will be levied through a resolution by the member state authority.

The shortage generated in transit is the liability of the dispatching tax warehouse, except if an agreement has been made with the transporter on the joint and several liabilities. 

For release to free circulation the losses must be accounted for document by document (SAAD - Simplified Accompanying Administration Document). The quantity leaving the tax warehouse must be shown compulsorily on the SAAD. The accounting for loss in transit must be regulated in a contract. 

The product transfer pipeline functions as a special tax warehouse, the loss that can be accounted during delivery by product transport pipeline, is set forth by the customs and finance guard agency exercising the current authority supervision of the tax warehouse, with consideration given to the characteristics relating to the product transfer pipeline.

For the acceptable loss for non-excise duty licensed trading (retail) of the excise duty mineral oil products the country-specific loss regulation is applicable.

The rates of acceptable loss norms during deliveries are covered in Appendix 4. When defining the acceptable loss norms the norms set forth in the applicable regulations of the given country, are applicable. In case the norms of the applicable national regulation are more permissive than those defined in appendix 4, the values in the present table must be used.


All shortages above the norm, generated in the transportation process, must be investigated and reported to the head of Product Storage Management and to the head of the relevant Transportation Unit (Road, Rail/Barge).

In case the loss in transit has occurred due to theft (e.g. broken lead seal is found), the total quantity of the shortage must be included in the product balance as a theft, with an authority report prepared.  
"
"Transferring the risk of product, registering the discharge  - Train",saad,28.5,"Rail Loading:

On the loaded rail tank cars numbered seals must be placed at least to the unloading nozzles on both sides, to the hand wheel of the crown valves and to the dome cover, and additionally – subject to the rail tank car design – to places offering the possibility of an access to the goods. Registration of the placed RTC seals must be kept.  

The number of the seals affixed must be indicated on the bill of lading.

After the goods accompanying documents have been issued the loaded and sealed railway tankers must be departed to the railway company in an acceptance/transfer procedure. 
A protocol (such as Railway Tanker Car Departure Form) must be prepared on the acceptance / transfer of the RTCs and the goods accompanying documents.

In case the terminal has a calibrated weighing bridge the certificate made on the weighting must also be attached to the freight documents. 

The second copy of the bills of lading handed over to the railway service must be archived.

Accounting for transport losses:

For loaded quantities within MOL Group (supplying own terminals) no transport difference may be accounted for. (Except the transport means arrived with damaged or incomplete security seals. In that case the realized loss must be claimed from the transporter)

In other cases transport loss may be accounted for transportation with suspended excise tax or approved customer claims only, case by case on the basis of difference between the quantity of the dispatched and received goods. For an EU delivery a counter signature by the authorities is required and the duty will be levied through a resolution by the member state authority.

The shortage generated in transit is the liability of the dispatching tax warehouse, except if an agreement has been made with the transporter on the joint and several liabilities. 

For release to free circulation the losses must be accounted for document by document (SAAD - Simplified Accompanying Administration Document). The quantity leaving the tax warehouse must be shown compulsorily on the SAAD. The accounting for loss in transit must be regulated in a contract. 

The product transfer pipeline functions as a special tax warehouse, the loss that can be accounted during delivery by product transport pipeline, is set forth by the customs and finance guard agency exercising the current authority supervision of the tax warehouse, with consideration given to the characteristics relating to the product transfer pipeline.

For the acceptable loss for non-excise duty licensed trading (retail) of the excise duty mineral oil products the country-specific loss regulation is applicable.

The rates of acceptable loss norms during deliveries are covered in Appendix 4. When defining the acceptable loss norms the norms set forth in the applicable regulations of the given country, are applicable. In case the norms of the applicable national regulation are more permissive than those defined in appendix 4, the values in the present table must be used.


All shortages above the norm, generated in the transportation process, must be investigated and reported to the head of Product Storage Management and to the head of the relevant Transportation Unit (Road, Rail/Barge).

In case the loss in transit has occurred due to theft (e.g. broken lead seal is found), the total quantity of the shortage must be included in the product balance as a theft, with an authority report prepared.  
"
"Transferring the risk of product, registering the discharge  - Train",total quantity,26.0,"Rail Loading:

On the loaded rail tank cars numbered seals must be placed at least to the unloading nozzles on both sides, to the hand wheel of the crown valves and to the dome cover, and additionally – subject to the rail tank car design – to places offering the possibility of an access to the goods. Registration of the placed RTC seals must be kept.  

The number of the seals affixed must be indicated on the bill of lading.

After the goods accompanying documents have been issued the loaded and sealed railway tankers must be departed to the railway company in an acceptance/transfer procedure. 
A protocol (such as Railway Tanker Car Departure Form) must be prepared on the acceptance / transfer of the RTCs and the goods accompanying documents.

In case the terminal has a calibrated weighing bridge the certificate made on the weighting must also be attached to the freight documents. 

The second copy of the bills of lading handed over to the railway service must be archived.

Accounting for transport losses:

For loaded quantities within MOL Group (supplying own terminals) no transport difference may be accounted for. (Except the transport means arrived with damaged or incomplete security seals. In that case the realized loss must be claimed from the transporter)

In other cases transport loss may be accounted for transportation with suspended excise tax or approved customer claims only, case by case on the basis of difference between the quantity of the dispatched and received goods. For an EU delivery a counter signature by the authorities is required and the duty will be levied through a resolution by the member state authority.

The shortage generated in transit is the liability of the dispatching tax warehouse, except if an agreement has been made with the transporter on the joint and several liabilities. 

For release to free circulation the losses must be accounted for document by document (SAAD - Simplified Accompanying Administration Document). The quantity leaving the tax warehouse must be shown compulsorily on the SAAD. The accounting for loss in transit must be regulated in a contract. 

The product transfer pipeline functions as a special tax warehouse, the loss that can be accounted during delivery by product transport pipeline, is set forth by the customs and finance guard agency exercising the current authority supervision of the tax warehouse, with consideration given to the characteristics relating to the product transfer pipeline.

For the acceptable loss for non-excise duty licensed trading (retail) of the excise duty mineral oil products the country-specific loss regulation is applicable.

The rates of acceptable loss norms during deliveries are covered in Appendix 4. When defining the acceptable loss norms the norms set forth in the applicable regulations of the given country, are applicable. In case the norms of the applicable national regulation are more permissive than those defined in appendix 4, the values in the present table must be used.


All shortages above the norm, generated in the transportation process, must be investigated and reported to the head of Product Storage Management and to the head of the relevant Transportation Unit (Road, Rail/Barge).

In case the loss in transit has occurred due to theft (e.g. broken lead seal is found), the total quantity of the shortage must be included in the product balance as a theft, with an authority report prepared.  
"
"Transferring the risk of product, registering the discharge  - Train",authority report,23.5,"Rail Loading:

On the loaded rail tank cars numbered seals must be placed at least to the unloading nozzles on both sides, to the hand wheel of the crown valves and to the dome cover, and additionally – subject to the rail tank car design – to places offering the possibility of an access to the goods. Registration of the placed RTC seals must be kept.  

The number of the seals affixed must be indicated on the bill of lading.

After the goods accompanying documents have been issued the loaded and sealed railway tankers must be departed to the railway company in an acceptance/transfer procedure. 
A protocol (such as Railway Tanker Car Departure Form) must be prepared on the acceptance / transfer of the RTCs and the goods accompanying documents.

In case the terminal has a calibrated weighing bridge the certificate made on the weighting must also be attached to the freight documents. 

The second copy of the bills of lading handed over to the railway service must be archived.

Accounting for transport losses:

For loaded quantities within MOL Group (supplying own terminals) no transport difference may be accounted for. (Except the transport means arrived with damaged or incomplete security seals. In that case the realized loss must be claimed from the transporter)

In other cases transport loss may be accounted for transportation with suspended excise tax or approved customer claims only, case by case on the basis of difference between the quantity of the dispatched and received goods. For an EU delivery a counter signature by the authorities is required and the duty will be levied through a resolution by the member state authority.

The shortage generated in transit is the liability of the dispatching tax warehouse, except if an agreement has been made with the transporter on the joint and several liabilities. 

For release to free circulation the losses must be accounted for document by document (SAAD - Simplified Accompanying Administration Document). The quantity leaving the tax warehouse must be shown compulsorily on the SAAD. The accounting for loss in transit must be regulated in a contract. 

The product transfer pipeline functions as a special tax warehouse, the loss that can be accounted during delivery by product transport pipeline, is set forth by the customs and finance guard agency exercising the current authority supervision of the tax warehouse, with consideration given to the characteristics relating to the product transfer pipeline.

For the acceptable loss for non-excise duty licensed trading (retail) of the excise duty mineral oil products the country-specific loss regulation is applicable.

The rates of acceptable loss norms during deliveries are covered in Appendix 4. When defining the acceptable loss norms the norms set forth in the applicable regulations of the given country, are applicable. In case the norms of the applicable national regulation are more permissive than those defined in appendix 4, the values in the present table must be used.


All shortages above the norm, generated in the transportation process, must be investigated and reported to the head of Product Storage Management and to the head of the relevant Transportation Unit (Road, Rail/Barge).

In case the loss in transit has occurred due to theft (e.g. broken lead seal is found), the total quantity of the shortage must be included in the product balance as a theft, with an authority report prepared.  
"
"Transferring the risk of product, registering the discharge  - Train",authority,22.5,"Rail Loading:

On the loaded rail tank cars numbered seals must be placed at least to the unloading nozzles on both sides, to the hand wheel of the crown valves and to the dome cover, and additionally – subject to the rail tank car design – to places offering the possibility of an access to the goods. Registration of the placed RTC seals must be kept.  

The number of the seals affixed must be indicated on the bill of lading.

After the goods accompanying documents have been issued the loaded and sealed railway tankers must be departed to the railway company in an acceptance/transfer procedure. 
A protocol (such as Railway Tanker Car Departure Form) must be prepared on the acceptance / transfer of the RTCs and the goods accompanying documents.

In case the terminal has a calibrated weighing bridge the certificate made on the weighting must also be attached to the freight documents. 

The second copy of the bills of lading handed over to the railway service must be archived.

Accounting for transport losses:

For loaded quantities within MOL Group (supplying own terminals) no transport difference may be accounted for. (Except the transport means arrived with damaged or incomplete security seals. In that case the realized loss must be claimed from the transporter)

In other cases transport loss may be accounted for transportation with suspended excise tax or approved customer claims only, case by case on the basis of difference between the quantity of the dispatched and received goods. For an EU delivery a counter signature by the authorities is required and the duty will be levied through a resolution by the member state authority.

The shortage generated in transit is the liability of the dispatching tax warehouse, except if an agreement has been made with the transporter on the joint and several liabilities. 

For release to free circulation the losses must be accounted for document by document (SAAD - Simplified Accompanying Administration Document). The quantity leaving the tax warehouse must be shown compulsorily on the SAAD. The accounting for loss in transit must be regulated in a contract. 

The product transfer pipeline functions as a special tax warehouse, the loss that can be accounted during delivery by product transport pipeline, is set forth by the customs and finance guard agency exercising the current authority supervision of the tax warehouse, with consideration given to the characteristics relating to the product transfer pipeline.

For the acceptable loss for non-excise duty licensed trading (retail) of the excise duty mineral oil products the country-specific loss regulation is applicable.

The rates of acceptable loss norms during deliveries are covered in Appendix 4. When defining the acceptable loss norms the norms set forth in the applicable regulations of the given country, are applicable. In case the norms of the applicable national regulation are more permissive than those defined in appendix 4, the values in the present table must be used.


All shortages above the norm, generated in the transportation process, must be investigated and reported to the head of Product Storage Management and to the head of the relevant Transportation Unit (Road, Rail/Barge).

In case the loss in transit has occurred due to theft (e.g. broken lead seal is found), the total quantity of the shortage must be included in the product balance as a theft, with an authority report prepared.  
"
"Transferring the risk of product, registering the discharge  - Train",applicable regulation,22.166666666666664,"Rail Loading:

On the loaded rail tank cars numbered seals must be placed at least to the unloading nozzles on both sides, to the hand wheel of the crown valves and to the dome cover, and additionally – subject to the rail tank car design – to places offering the possibility of an access to the goods. Registration of the placed RTC seals must be kept.  

The number of the seals affixed must be indicated on the bill of lading.

After the goods accompanying documents have been issued the loaded and sealed railway tankers must be departed to the railway company in an acceptance/transfer procedure. 
A protocol (such as Railway Tanker Car Departure Form) must be prepared on the acceptance / transfer of the RTCs and the goods accompanying documents.

In case the terminal has a calibrated weighing bridge the certificate made on the weighting must also be attached to the freight documents. 

The second copy of the bills of lading handed over to the railway service must be archived.

Accounting for transport losses:

For loaded quantities within MOL Group (supplying own terminals) no transport difference may be accounted for. (Except the transport means arrived with damaged or incomplete security seals. In that case the realized loss must be claimed from the transporter)

In other cases transport loss may be accounted for transportation with suspended excise tax or approved customer claims only, case by case on the basis of difference between the quantity of the dispatched and received goods. For an EU delivery a counter signature by the authorities is required and the duty will be levied through a resolution by the member state authority.

The shortage generated in transit is the liability of the dispatching tax warehouse, except if an agreement has been made with the transporter on the joint and several liabilities. 

For release to free circulation the losses must be accounted for document by document (SAAD - Simplified Accompanying Administration Document). The quantity leaving the tax warehouse must be shown compulsorily on the SAAD. The accounting for loss in transit must be regulated in a contract. 

The product transfer pipeline functions as a special tax warehouse, the loss that can be accounted during delivery by product transport pipeline, is set forth by the customs and finance guard agency exercising the current authority supervision of the tax warehouse, with consideration given to the characteristics relating to the product transfer pipeline.

For the acceptable loss for non-excise duty licensed trading (retail) of the excise duty mineral oil products the country-specific loss regulation is applicable.

The rates of acceptable loss norms during deliveries are covered in Appendix 4. When defining the acceptable loss norms the norms set forth in the applicable regulations of the given country, are applicable. In case the norms of the applicable national regulation are more permissive than those defined in appendix 4, the values in the present table must be used.


All shortages above the norm, generated in the transportation process, must be investigated and reported to the head of Product Storage Management and to the head of the relevant Transportation Unit (Road, Rail/Barge).

In case the loss in transit has occurred due to theft (e.g. broken lead seal is found), the total quantity of the shortage must be included in the product balance as a theft, with an authority report prepared.  
"
