Model,Task,Role,Description,ScoredKeyphrases
30. Lifting from terminal  / Release to market ,Issuing the transport documents - Barge,Dispatcher / shift supervisor,"Barge / vessel Loading

The quantity of the goods loaded must be established using a calibrated flow meter (so called metering loop), or in its absence, by cubing. As control a pre and post gauging must be made in the discharging tank. If the difference exceeds +/- 3%, the barge gauging must be repeated in a joint effort (by the barge crew and the loading gantry personnel) and if the difference still exists, an independent organisation must be assigned to establishing the quantity loaded. 

Based on the values gauged a “protocol” must be prepared with the distribution as follows:

•    1 copy goes to the issuer
•    2 copies go to Rail and Barge Management organisation
•    1 copy is to be attached to the freight documents
•    1 copy remains with the person performing the loading
","[('flow meter', 24.0), ('post gauging', 20.5), ('barge vessel', 20.25), ('discharging tank', 20.0), ('barge gauging', 16.75), ('loading gantry personnel', 15.0), ('joint effort', 14.0), ('barge crew', 13.25), ('barge management organisation', 12.25), ('independent organisation', 7.0), ('rail', 3.0), ('freight document', 2.0)]"
30. Lifting from terminal  / Release to market ,"Transferring the risk of product, registering the discharge - Barge",Dispatcher / shift supervisor,"Barge / vessel Loading

Appropriate seals must be placed on the caverns of the barge. The numbers of the placed seals must be noted on the shipping documents.


Accounting for transport losses:

For loaded quantities within MOL Group (supplying own terminals) no transport difference may be accounted for. (Except the transport means arrived with damaged or incomplete security seals. In that case the realized loss must be claimed from the transporter)

In other cases transport loss may be accounted for transportation with suspended excise tax or approved customer claims only, case by case on the basis of difference between the quantity of the dispatched and received goods. For an EU delivery a counter signature by the authorities is required and the duty will be levied through a resolution by the member state authority.

The shortage generated in transit is the liability of the dispatching tax warehouse, except if an agreement has been made with the transporter on the joint and several liabilities. 

For release to free circulation the losses must be accounted for document by document (SAAD - Simplified Accompanying Administration Document). The quantity leaving the tax warehouse must be shown compulsorily on the SAAD. The accounting for loss in transit must be regulated in a contract. 

The product transfer pipeline functions as a special tax warehouse, the loss that can be accounted during delivery by product transport pipeline, is set forth by the customs and finance guard agency exercising the current authority supervision of the tax warehouse, with consideration given to the characteristics relating to the product transfer pipeline.

For the acceptable loss for non-excise duty licensed trading (retail) of the excise duty mineral oil products the country-specific loss regulation is applicable.

The rates of acceptable loss norms during deliveries are covered in Appendix 4. When defining the acceptable loss norms the norms set forth in the applicable regulations of the given country, are applicable. In case the norms of the applicable national regulation are more permissive than those defined in appendix 4, the values in the present table must be used.


All shortages above the norm, generated in the transportation process, must be investigated and reported to the head of Product Storage Management and to the head of the relevant Transportation Unit (Road, Rail/Barge).

In case the loss in transit has occurred due to theft (e.g. broken lead seal is found), the total quantity of the shortage must be included in the product balance as a theft, with an authority report prepared.  
","[('incomplete security seal', 113.0), ('accompanying administration document', 93.0), ('suspended excise tax', 92.9), ('member state authority', 90.5), ('excise duty mineral oil product', 87.0), ('barge vessel', 86.0), ('appropriate seal', 85.0), ('mol group', 84.0), ('product transfer pipeline function', 83.5), ('placed seal', 82.0), ('shipping document', 81.0), ('transport difference', 75.66666666666666), ('eu delivery', 74.0), ('product transport pipeline', 72.66666666666666), ('counter signature', 72.0), ('loaded quantity', 66.0), ('relevant transportation unit road rail barge', 66.0), ('several liability', 64.0), ('document saad', 63.5), ('finance guard agency', 63.0), ('current authority supervision', 62.5), ('free circulation', 62.0), ('product transfer pipeline', 58.5), ('transport loss', 55.666666666666664), ('tax warehouse', 55.06666666666666), ('special tax', 52.4), ('cavern', 49.0), ('acceptable loss norm', 47.0), ('country-specific loss regulation', 45.666666666666664), ('terminal', 41.0), ('lead seal', 39.0), ('accounting', 35.5), ('barge', 35.0), ('acceptable loss', 34.0), ('applicable national regulation', 32.166666666666664), ('non-excise duty', 31.5), ('product storage management', 29.0), ('saad', 28.5), ('total quantity', 26.0), ('authority report', 23.5), ('authority', 22.5), ('applicable regulation', 22.166666666666664), ('custom', 22.0), ('present table', 18.0), ('product balance', 17.0), ('transportation process', 15.0)]"
10. Receiving / product acceptance,"Making preparations for product reception, reviewing the transport documents",Terminal manager,"Prior to starting the reception, it must be checked whether the necessary room sufficient for the quantity to be received is available. 

Prior to commencing the work procedure, the existence and proper condition of the specified work tools and protective equipment must be checked and ensured along with the compliance with the personal conditions and specified HSE requirements.

Prior to starting the reception, the product and the delivery must be identified on the basis of the transport documents. The details on the transport documents (bill of lading, transport bill, customs declaration, quality certificate) and the transport means must be compared to the data of the purchase order or contract. 
If no deviation is found the acceptance of the product may be commenced.

In case of any deviation found in the documents the reception must not be commenced. The responsible superior must be notified who must – with the involvement of the supplier – initiate the proper measure, or the claim as necessary. The deviation must be recorded.

For reception by barge the quantity of the product to be received must be checked in a joint effort with the supplier by weighting/cubing and a record must be prepared in a retrievable manner.
","[('necessary room sufficient', 54.0), ('specified work tool', 46.0), ('work procedure', 33.0), ('protective equipment', 28.0), ('transport document bill', 27.0), ('personal condition', 26.0), ('transport bill custom', 25.5), ('proper condition', 24.5), ('hse requirement', 22.0), ('transport document', 18.5), ('proper measure', 15.5), ('quality certificate', 14.0), ('compliance', 13.0), ('purchase order', 12.0), ('joint effort', 6.0), ('barge', 4.0), ('cubing', 2.0), ('retrievable manner', 2.0)]"
10. Receiving / product acceptance,Inspecting the vehicle,Dispatcher / shift supervisor,"Before pulling up at the unloading point, proper condition of the connection fittings on the transport means, the undamaged state of the applied seals and the compliance with the safety preconditions, must all be inspected. The inspection must be recorded.
Unloading is allowed to start only from transport means arriving with undamaged seals.
In case of any deviation compared to the required process and safety preconditions the start of the unloading is not allowed. The responsible superior must be notified and a record (protocol) must be prepared on the deviation.
","[('unloading point proper condition', 44.0), ('connection fitting', 20.0), ('undamaged state', 15.5), ('applied seal', 14.0), ('undamaged seal', 12.5), ('transport mean', 10.0), ('safety precondition', 8.0), ('compliance', 7.0), ('required process', 6.0), ('record protocol', 2.0)]"
10. Receiving / product acceptance,Controlling the quality,Dispatcher / shift supervisor,"Prior to unloading, the receiving tank must be qualified from quality point of view of stored product. Unloading may be started into a receiving tank of the proper qualification only (except product upgrading). 

The incoming product / semi-finished product / feedstock must be sampled – the sampling procedure must be developed and regulated locally – and the samples taken must be analysed in laboratory or test room.
In case when qualification in laboratory or test room is not feasible, the product density must be measured and the mechanical contamination and the presence of water must be checked by visual inspection.

Based on the analysis, it must be checked whether the quality parameters of the product satisfy the requirements (product standards, contract) set forth for it.
In case of any nonconformity, it is not allowed to start receiving the product. 

The analysed state and the conformity of the incoming product must be recorded 
(IT application is appropriate for this purpose).

The unloading of the incoming product must be approved by the dispatcher / shift supervisor in writing (IT application is appropriate for this purpose).

Hydrocarbon products may be returned from a customer or a filling station only to a depot which has instruments for quality testing, or the returned product must have a quality certificate that is allowed by the local authority / internal regulations.
","[('incoming product semi-finished product feedstock', 83.66666666666666), ('stored product unloading', 64.5), ('requirement product standard contract', 53.5), ('receiving tank', 52.5), ('proper qualification', 46.0), ('sampling procedure', 40.0), ('quality point', 37.5), ('test room', 37.0), ('product upgrading', 36.5), ('mechanical contamination', 32.0), ('product density', 31.5), ('visual inspection', 30.0), ('incoming product', 27.166666666666664), ('tank', 25.5), ('quality parameter', 25.5), ('analysed state', 22.0), ('dispatcher shift supervisor', 21.0), ('hydrocarbon product', 20.5), ('returned product', 17.5), ('quality testing', 15.5), ('quality certificate', 13.5), ('nonconformity', 12.0), ('conformity', 10.0), ('filling station', 10.0), ('local authority internal regulation', 4.0)]"
10. Receiving / product acceptance,Controlling the quantity - Barge,Dispatcher / shift supervisor,"a. General rules for quantitative acceptance of a product

Defining the quantity received may be made on the basis of the pre- and post-gauging data of the tank, or by other verified metering device (such as a flow meter).
If it is made on the basis of tank gauging data, the procedure to follow is:

The product quantity in the receiving tank must be measured before the reception (so called pre-gauging) and after the reception (so called post-gauging). The gauging procedure must be carried out during every reception. 

The quantity of the received product is the difference between the pre and post gauging results.
After the reception, it must be defined whether a shortage or surplus is found. In case shortage or surplus is found the responsible manager must initiate the proper corrective action, or claim as necessary.
A shortage/surplus report must be prepared in accordance with the local excise duty regulations.

Based on the gauging results a report on the product reception must be prepared and continuously kept in a “Tank Log”, or in any other document or IT application that satisfies the minimum contents requirements set in Appendix 15. 

If accounting is not made on tank data basis, but on the data from other measuring device, the pre and post gauging data of the goods receiving tank still must be taken into consideration.

During the reception procedure, the use of a running gauge system (receiving and loading at the same time in/from storage tank) should be avoided if possible (taking into considerations technical features).
d. Special requirements for quantitative handover/takeover procedure by barge

In case of difference between the quantity of the received product and the quantity given by the control measurement (e.g. barge cubing) is not in excess of the control measurement accuracy 0.3% (or of the rate set forth in the commercial contract), the quantitative accounting and acceptance of the product received by barge must be performed on the basis of sender’s transport documents.
If the difference is greater than 0.3% the acceptance or accounting must be made on the basis of the control measurement (e.g. barge cubing).

A report (so called protocol) must be prepared on the product acceptance and is to be signed off by both the transferring and the receiving party.
","[('local excise duty regulation', 104.0), ('general rule', 86.0), ('proper corrective action', 84.0), ('shortage surplus report', 82.5), ('post gauging result', 80.0), ('post gauging data', 78.66666666666667), ('flow meter', 78.0), ('tank data basis', 73.66666666666667), ('post-gauging data', 64.16666666666667), ('receiving tank', 63.0), ('quantitative handover takeover procedure', 61.66666666666666), ('minimum content requirement', 61.0), ('case shortage', 58.5), ('responsible manager', 58.0), ('product quantity', 57.6), ('gauging result', 55.0), ('tank log', 50.0), ('gauging procedure', 47.33333333333333), ('product acceptance', 42.1), ('received product', 41.1), ('product reception', 41.1), ('storage tank', 41.0), ('quantitative acceptance', 40.83333333333333), ('reception procedure', 40.83333333333333), ('consideration technical feature', 39.0), ('post-gauging', 37.5), ('pre-gauging', 35.0), ('gauge system', 32.0), ('special requirement', 29.0), ('quantitative accounting', 29.0), ('tank', 27.0), ('control measurement barge cubing', 25.333333333333336), ('control measurement accuracy', 18.333333333333336), ('control measurement barge', 17.333333333333336), ('commercial contract', 12.0), ('accounting', 9.666666666666666), ('barge', 6.0)]"
10. Receiving / product acceptance,Unloading,Operator,"In case no deviation is found during the inspection prior to unloading, the product unloading procedure may be started.
The operation of the unloading / receiving process and the requirements associated with the procedure must be regulated in a local operating instruction which must include the following as minimum:

•    Functions and responsibilities for
o    Operator
o    Personnel of the transport means
o    Representative of the boat (for barge/vessel procedure)
•    Personal requirements (qualifications, headcount etc.)
•    Hauling alongside/pulling up at the process with the transport means
•    Adjusting the valves (line adjustment, set values, valve positions)
•    Connecting to the technological system
•    Monitoring the flow and quality during the procedure
•    Health, safety and environmental specifications
•    Handling deviations (from normal operating mode, emergency etc.)
•    Handling wastes and phases (mixed products)
•    Documenting

After the reception, the receiving tank must be sampled and the sample taken must be analysed in laboratory or test room.
If analysis in laboratory or test room is not feasible, the density of the product must be measured and the mechanical contamination and the presence of water must be checked by visual inspection.

In case when quality deviation is found, a corrective action must be initiated ","[('barge vessel procedure personal requirement qualification', 96.33333333333333), ('valve line adjustment set value', 70.0), ('local operating instruction', 60.0), ('product unloading procedure', 51.83333333333333), ('etc hauling alongside', 45.0), ('procedure health safety', 40.33333333333333), ('minimum function', 38.0), ('operator personnel', 36.0), ('phase mixed product', 30.5), ('technological system', 26.0), ('environmental specification', 22.0), ('mode emergency', 20.0), ('handling waste', 18.0), ('boat', 17.0), ('receiving tank', 14.0), ('test room', 11.0), ('mechanical contamination', 8.0), ('visual inspection', 6.0), ('quality deviation', 4.0), ('corrective action', 2.0)]"
10. Receiving / product acceptance,Record keeping and registration in inventory,Dispatcher / shift supervisor,"The book keeping must be updated based on the pre- and post measuring data / reports, which form the basis of accounting, with consideration given to the chargeable losses. 
The loss norms chargeable during reception are included in Appendix 4.

For products subject to excise duty and other control, the accounting must be performed in litre corrected to 15oC and in kilogram.

After reception, the quality of the product must be checked using a sampling procedure. The samples must be analysed in laboratory/test room. In case when it is not possible to analyse with instruments a visual inspection must be performed.

In case of non-conformity, a report must be prepared, and the responsible manager must initiate the proper corrective action","[('measuring data report', 36.0), ('chargeable loss', 21.5), ('loss norm', 20.5), ('laboratory test room', 15.0), ('sampling procedure', 12.0), ('accounting', 9.0), ('litre', 8.0), ('visual inspection', 8.0), ('kilogram', 7.0), ('responsible manager', 4.0), ('non-conformity', 3.0), ('proper corrective action', 3.0)]"
10. Receiving / product acceptance,Acceptance/transfer in tank,Dispatcher / shift supervisor,"Product acceptance in tank means the takeover/handover of control and risk over the product stored in the tank – typically within crude refinery tax warehouse - between two organisations located on the same site. 

Only tanks that have quality certificate may be accepted for storage and delivery purposes.

Upon accepting a tank product, so called pre-gauging must be performed during which the level and the average temperature of the product stored in the tank is measured in millimetre and centigrade, respectively.

Based on the pre-gauging details a report must be prepared with the minimum data contents as per Appendix 3.

Upon draining the tank in normal operating mode the tank must be returned to the transferring party after a post gauging. In the post gauging the transferring and accepting parties must establish in a joint effort the product level in millimetre and the average temperature in centigrade in the tank to be returned.

When defining the post gauged quantity the density obtained from the pre-gauging sample must be taken into consideration.

The quantity of the product handed/taken over with pre and post gauging must be recorded in a handover/takeover report, with the minimum data contents as per Appendix 3. The reports must be signed off by the representatives of both the transferring and the accepting party.

Based on the pre and post gauging data / reports, or on the measuring data that form the basis of the accounting, the book keeping must be updated. 

For storing gases a continuous quantitative data recording must be in use and the tank draining and loading parameters must be visible at their actual value – as used by the process controller – and kept archived in a way that allows retrieving at any time. 

For products subject to excise duty and other control, the accounting must be performed in litre corrected to 15oC and kilogram.

After receiving the quality of the product must be checked using a sampling procedure. The samples taken must be analysed in laboratory / test room. In case when it is not possible to analyse with instruments a visual inspection must be performed.

In case of non-conformity, a report must be prepared, and the responsible manager must initiate the proper corrective action, with consideration given to the provisions set forth in Para 110.2.","[('crude refinery tax warehouse', 168.0), ('product acceptance', 84.33333333333334), ('quality certificate', 82.0), ('delivery purpose', 80.0), ('handover takeover report', 80.0), ('post gauging data report', 77.4), ('tank product', 69.45833333333334), ('minimum data content', 67.4), ('pre-gauging detail', 63.66666666666667), ('product level', 63.333333333333336), ('takeover handover', 63.0), ('average temperature', 61.0), ('normal operating', 60.0), ('continuous quantitative data recording', 54.4), ('joint effort', 54.0), ('pre-gauging sample', 51.66666666666667), ('risk', 44.0), ('tank draining', 43.125), ('post gauging', 42.0), ('measuring data', 33.4), ('tank', 32.125), ('pre-gauging', 30.666666666666668), ('millimetre', 30.0), ('centigrade', 28.5), ('actual value', 20.0), ('process controller', 18.0), ('laboratory test room', 15.0), ('gas', 13.0), ('sampling procedure', 12.0), ('accounting', 11.0), ('visual inspection', 8.0), ('litre', 7.0), ('responsible manager', 4.0), ('non-conformity', 3.0), ('proper corrective action', 3.0)]"
10. Receiving / product acceptance,Controlling the quantity - RoTC,Dispatcher / shift supervisor,"a. General rules for quantitative acceptance of a product

Defining the quantity received may be made on the basis of the pre- and post-gauging data of the tank, or by other verified metering device (such as a flow meter).
If it is made on the basis of tank gauging data, the procedure to follow is:

The product quantity in the receiving tank must be measured before the reception (so called pre-gauging) and after the reception (so called post-gauging). The gauging procedure must be carried out during every reception. 

The quantity of the received product is the difference between the pre and post gauging results.
After the reception, it must be defined whether a shortage or surplus is found. In case shortage or surplus is found the responsible manager must initiate the proper corrective action, or claim as necessary.
A shortage/surplus report must be prepared in accordance with the local excise duty regulations.

Based on the gauging results a report on the product reception must be prepared and continuously kept in a “Tank Log”, or in any other document or IT application that satisfies the minimum contents requirements set in Appendix 15. 

If accounting is not made on tank data basis, but on the data from other measuring device, the pre and post gauging data of the goods receiving tank still must be taken into consideration.

During the reception procedure, the use of a running gauge system (receiving and loading at the same time in/from storage tank) should be avoided if possible (taking into considerations technical features).
e. Special requirements for quantitative handover/takeover procedure by road tanker

The quantitative handover/takeover of oil products arriving by road tank trucks must be performed on the basis of certified flow meters, certified electronic dip-stick or based on gross and tare weighing carried out on certified road bridge scales. 
Subject to the delivery terms (parity) the quantitative entry of the product into the inventory must be made – in the absence of road weighing bridge or flow meter – on the basis of tank gauging and the density data of a sample taken from the shipment
","[('local excise duty regulation', 116.0), ('proper corrective action', 93.0), ('general rule', 92.0), ('shortage surplus report', 91.5), ('post gauging result', 83.4), ('post gauging data', 74.9), ('tank data basis', 70.16666666666667), ('minimum content requirement', 70.0), ('quantitative handover takeover procedure', 68.33333333333333), ('product quantity', 68.25), ('case shortage', 64.5), ('quantitative acceptance', 64.0), ('responsible manager', 64.0), ('receiving tank', 63.66666666666667), ('received product', 63.25), ('post-gauging data', 63.0), ('gauging result', 55.4), ('product reception', 51.75), ('tank log', 50.66666666666667), ('tank gauging', 49.06666666666666), ('consideration technical feature', 48.0), ('gauging procedure', 47.733333333333334), ('reception procedure', 46.83333333333333), ('quantitative handover takeover', 45.0), ('road tank truck', 43.16666666666667), ('storage tank', 41.66666666666667), ('post-gauging', 40.5), ('oil product', 39.25), ('pre-gauging', 38.0), ('gauge system', 38.0), ('flow meter', 36.0), ('special requirement', 35.0), ('certified road bridge scale', 29.5), ('tank', 24.666666666666668), ('accounting', 24.0), ('quantitative entry', 24.0), ('density data', 23.5), ('road tanker', 21.5), ('electronic dip-stick', 16.0), ('delivery term', 12.0), ('road', 8.5)]"
10. Receiving / product acceptance,Controlling the quantity - RTC,Dispatcher / shift supervisor,"a. General rules for quantitative acceptance of a product

Defining the quantity received may be made on the basis of the pre- and post-gauging data of the tank, or by other verified metering device (such as a flow meter).
If it is made on the basis of tank gauging data, the procedure to follow is:

The product quantity in the receiving tank must be measured before the reception (so called pre-gauging) and after the reception (so called post-gauging). The gauging procedure must be carried out during every reception. 

The quantity of the received product is the difference between the pre and post gauging results.
After the reception, it must be defined whether a shortage or surplus is found. In case shortage or surplus is found the responsible manager must initiate the proper corrective action, or claim as necessary.
A shortage/surplus report must be prepared in accordance with the local excise duty regulations.

Based on the gauging results a report on the product reception must be prepared and continuously kept in a “Tank Log”, or in any other document or IT application that satisfies the minimum contents requirements set in Appendix 15. 

If accounting is not made on tank data basis, but on the data from other measuring device, the pre and post gauging data of the goods receiving tank still must be taken into consideration.

During the reception procedure, the use of a running gauge system (receiving and loading at the same time in/from storage tank) should be avoided if possible (taking into considerations technical features).
c. Special requirements for quantitative handover/takeover procedure by rail

In case of a delivery between a supplier within MOL Group and MOL Group’s tax warehouses and terminals with excise duty licence, the basis of the acceptance is the net quantity shown on the bill of lading for an undamaged shipment and loss in transport cannot be charged unless there are special restrictions in the local law.  
For a qualified supplier, in case the shipment is undamaged, the net quantity shown on the bill of lading must be entered into the inventory, unless otherwise is provided in the contract or local legislation.

For any other supply, if upon weighting prior to unloading, a difference in excess of 0,2% - for gases the allowable maximum difference is 200kg – is found compared to the bill of lading, and in all cases when receiving Bio-ethanol and FAME, the basis for the reception is the quantity established by official weighting carried out on receiver’s site unless otherwise provided for in the contract or in the local legislation.

For rail tank cars (RTC) with broken or missing lead seals the arriving goods must be registered in the inventory on the basis of the  bridge scales slips prepared upon the weighting made wagon by wagon on receiver’s certified/verified bridge scales. The cause of possible differences must be investigated in a joint effort with the supplier and a report must be prepared on the investigation.

","[('quantitative handover takeover procedure', 140.83333333333334), ('proper corrective action', 138.0), ('shortage surplus report', 136.5), ('post gauging result', 134.0), ('local excise duty regulation', 134.0), ('post gauging data', 132.66666666666666), ('tank data basis', 123.04166666666666), ('general rule', 122.0), ('minimum content requirement', 115.0), ('flow meter', 114.0), ('mol group tax warehouse', 105.0), ('quantitative acceptance', 104.5), ('post-gauging data', 100.16666666666666), ('received product', 99.0), ('case shortage', 94.5), ('receiving tank', 94.375), ('responsible manager', 94.0), ('consideration technical feature', 93.0), ('excise duty licence', 92.0), ('gauging result', 91.0), ('product reception', 87.5), ('gauging procedure', 83.33333333333334), ('tank log', 81.375), ('product quantity', 80.66666666666667), ('reception procedure', 76.83333333333334), ('rail tank car rtc', 74.375), ('storage tank', 72.375), ('gauge system', 68.0), ('special requirement', 60.0), ('post-gauging', 55.5), ('pre-gauging', 53.0), ('mol group', 53.0), ('net quantity', 51.66666666666667), ('special restriction', 45.0), ('undamaged shipment', 44.0), ('transport cannot', 42.0), ('local law', 41.0), ('tank', 40.375), ('accounting', 39.0), ('qualified supplier', 36.0), ('allowable maximum difference', 36.0), ('local legislation', 34.5), ('terminal', 25.0), ('receiver site', 20.0), ('rail', 18.0), ('gas', 15.0), ('lead seal', 14.0), ('kg', 13.0), ('bio-ethanol', 12.0), ('fame', 11.0), ('possible difference', 10.0), ('bridge scale', 6.0), ('wagon', 5.5), ('joint effort', 2.0)]"
10. Receiving / product acceptance,Controlling the quantity - Pipeline,Dispatcher / shift supervisor,"a. General rules for quantitative acceptance of a product

Defining the quantity received may be made on the basis of the pre- and post-gauging data of the tank, or by other verified metering device (such as a flow meter).
If it is made on the basis of tank gauging data, the procedure to follow is:

The product quantity in the receiving tank must be measured before the reception (so called pre-gauging) and after the reception (so called post-gauging). The gauging procedure must be carried out during every reception. 

The quantity of the received product is the difference between the pre and post gauging results.
After the reception, it must be defined whether a shortage or surplus is found. In case shortage or surplus is found the responsible manager must initiate the proper corrective action, or claim as necessary.
A shortage/surplus report must be prepared in accordance with the local excise duty regulations.

Based on the gauging results a report on the product reception must be prepared and continuously kept in a “Tank Log”, or in any other document or IT application that satisfies the minimum contents requirements set in Appendix 15. 

If accounting is not made on tank data basis, but on the data from other measuring device, the pre and post gauging data of the goods receiving tank still must be taken into consideration.

During the reception procedure, the use of a running gauge system (receiving and loading at the same time in/from storage tank) should be avoided if possible (taking into considerations technical features).
b. Special requirements for handover/takeover procedure by pipeline

Defining the quantity of the product received must be made by means of:

•    primarily the flow read by the verified flow metering instrument at the reception point (primary gauging), or in its absence  
•    the flow read by the verified flow metering instrument at the sending point (secondary gauging), or in its absence 
•    the pre and post gauging data (tank level in mm, average temperature in oC, and density at 15oC as per Standard ISO 3675) of the receiving tank, taken with verified measuring device (tertiary gauging)
•    for reception in a running gauge system, in the absence of primary and secondary gauging, the tertiary gauging must be extended on the quantity loaded into the transport means. Record must be kept on transport means loaded in a running gauge system, with the minimum data contents as per Appendix 5.

Deviation from the primary gauging must be approved by the responsible manager in written form (IT application or equivalent is acceptable).

The product quantity accepted during a reception by pipeline must be documented in a report with the minimum data contents as per Appendix 3. The report must be signed off by the representative of both the transferor and the receiver.

In the case of storing gases in a liquid state the received stock must be defined on the basis of the verified metering device mounted on the tank. When defining the quantity received, if the process conditions are given, the quantity of the gaseous phase above the liquid level in the tank must also be defined and taken into consideration. The complete stock must be established from the total quantity of the product in liquid and gaseous state. Where an accurate measuring of the gaseous phase is not feasible a liquid level gauge of e.g. radar type must be used for establishing the product quantity.
","[('local excise duty regulation', 232.0), ('post gauging data tank level', 197.3181818181818), ('proper corrective action', 180.0), ('shortage surplus report', 178.5), ('reception point primary gauging', 160.0), ('post gauging result', 152.66666666666666), ('general rule', 150.0), ('quantitative acceptance', 148.0), ('tank data basis', 140.3181818181818), ('handover takeover procedure', 138.33333333333334), ('post gauging data', 135.16666666666666), ('consideration technical feature', 135.0), ('case shortage', 122.5), ('point secondary gauging', 116.5), ('flow meter', 116.4), ('minimum content requirement', 114.33333333333333), ('post-gauging data', 112.0), ('minimum data content', 107.83333333333331), ('gauging result', 103.0), ('mm average temperature', 102.0), ('tank log', 100.81818181818181), ('reception procedure', 100.33333333333334), ('device tertiary gauging', 96.0), ('receiving tank', 95.81818181818181), ('gauging procedure', 95.33333333333334), ('special requirement', 93.0), ('storage tank', 91.81818181818181), ('product reception', 90.2), ('flow read', 84.9), ('responsible manager', 84.0), ('received product', 82.2), ('verified flow', 76.06666666666666), ('primary gauging', 74.5), ('tertiary gauging', 73.0), ('post-gauging', 69.5), ('verified metering device', 68.66666666666667), ('pre-gauging', 67.0), ('product quantity', 66.95), ('standard iso', 66.0), ('gauge system', 61.416666666666664), ('transport mean', 55.0), ('accounting', 53.0), ('liquid level gauge', 52.58333333333333), ('received stock', 52.5), ('tank', 45.81818181818182), ('form application', 44.0), ('total quantity', 32.75), ('pipeline', 31.0), ('process condition', 26.0), ('liquid level', 25.833333333333332), ('complete stock', 21.5), ('liquid state', 21.0), ('gaseous state', 18.833333333333332), ('gas', 18.0), ('gaseous phase', 15.333333333333332), ('accurate measuring', 10.0), ('liquid', 9.5), ('radar type', 4.0)]"
30 Routing and Scheduling,Receiving daily inventory and sales reports from FSs (and other VMI accounts),Local Retail,"The basis of the inventory management is the real and actual information about filling stations’ inventory levels and fact daily sales of fuels. Information of inventories and daily sales should be received at least once per day. In case of electronic measuring system in Retail network, automatic data receiving via interfaces is preferred. Local Retail organisational unit is responsible for providing Schedulers with proper inventory and/or sales figures in time","[('retail network automatic data receiving', 29.5), ('station inventory level', 28.333333333333336), ('preferred local retail organisational unit', 25.5), ('fact daily sale', 23.5), ('actual information', 22.0), ('inventory management', 20.333333333333336), ('daily sale', 14.5), ('per day', 14.0), ('proper inventory', 11.333333333333334), ('sale figure', 7.0), ('scheduler', 4.0)]"
30 Routing and Scheduling,Inventory checking (FS & VMI accounts),Scheduler,"Received inventory and sales data should be checked and validated by Schedulers, using the following formulas:
-    AI: Actual level of inventory (volume in litres),
-    PI: Previous level of inventory (volume litres),
-    S: Total sold fuel during last 24 hrs before time of inventory report (volume in litres),
-    ADS: Average daily sales (volume in litres),
-    D: Volume of fuel delivered to FS between last two subsequent inventory reports 

The received actual level of inventory and daily sales is valid, if:
(1)    (AI * 0,9) < (PI – S + D) < (AI * 1,1)
(2)    (AI – 1000) < (PI – S + D) < (AI + 1000)

The received daily sale is accepted as average, if:
(1)    (ADS * 0,65) < S < (ADS * 1,35)
(2)    (ADS – 1000) <S < (ADS +1000)

The parameters could be modified according to distinctive features or specifics in the current country, region. In case of wrong data, manual modification of data by schedulers is needed
","[('ad average daily sale volume', 58.583333333333336), ('inventory report volume', 43.0), ('pi previous level', 40.33333333333333), ('ai actual level', 39.33333333333333), ('received actual level', 37.666666666666664), ('inventory volume', 29.0), ('subsequent inventory', 24.25), ('sale data', 23.0), ('pi ai', 20.333333333333332), ('daily sale', 19.833333333333336), ('wrong data manual modification', 17.5), ('litre', 13.666666666666666), ('scheduler', 10.5), ('current country region', 9.0), ('distinctive feature', 8.0)]"
30 Routing and Scheduling,Order generation for filling stations (VMI accounts),Scheduler,"Order generation for filling stations should be fulfilled by Schedulers, after checking and validating the inventory and sales information and defining forecasted inventory level of next day. Forecasted inventory level of next day should be defined with the following calculation:

-    Fact inventory level: Last and checked (validated) inventory level (actual)
-    Average daily sales (reported or calculated – see previous chapter)
-    Delivery: deliveries to the filling station not considered by the last inventory level report.

Forecasted inventory level = Fact inventory level – Average daily sales + Delivery

 Order generation function based on the following parameters:
    
-    Forecasted inventory level
-    Pump stock level (dead stock): minimum inventory level, where sales must be stopped
-    Maximum inventory level: Highest inventory level, physical limit of unloading
-    Optimum replenishment level: Definition could be find in step 70. 
 
Planned quantity to FS = Optimum replenishment level – Forecasted inventory level

Minimum delivery quantity also could be defined. Minimum delivery quantity should be defined based on the average daily sales and average size of vehicles compartments.
","[('inventory level fact inventory level average daily sale', 94.06666666666666), ('f optimum replenishment level forecasted inventory level minimum delivery quantity', 85.91666666666666), ('next day forecasted inventory level', 77.95), ('maximum inventory level highest inventory level physical limit', 75.23333333333332), ('pump stock level dead stock minimum inventory level', 72.48333333333333), ('defining forecasted inventory level', 59.95), ('last inventory level report', 49.61666666666666), ('delivery order generation function', 42.6), ('validated inventory level', 40.61666666666666), ('next day', 39.0), ('fact inventory level', 38.61666666666666), ('sale information', 35.25), ('average daily sale', 31.833333333333336), ('previous chapter', 30.0), ('optimum replenishment level definition', 28.2), ('inventory level', 23.616666666666667), ('scheduler', 23.0), ('following parameter', 20.0), ('minimum delivery quantity', 19.766666666666666), ('delivery delivery', 19.2), ('average size', 10.25), ('vehicle compartment', 2.0)]"
